spotify_id,popularity,danceability,energy,acousticness,instrumentalness,liveness,speechiness,tempo,valence,mode,key,album_release_date,release_year,release_month,release_day,release_recency,first_snapshot_date,last_snapshot_date,days_on_spotify,popularity_class
2qLzkSZ3nstuozJLipRIrS,57,0.614,0.823,0.00426,0.0185,0.0861,0.05480000000000001,147.956,0.366,0.0,10.0,2023-09-15,2023,9,15,432,2023-10-18,2024-03-02,136,1
2qPUnoasNe4Ep43emVXEig,72,0.633,0.673,0.297,0.0,0.206,0.258,86.776,0.659,0.0,6.0,2010-06-07,2010,6,7,5280,2024-04-03,2024-04-09,6,2
2qSkIjg1o9h3YT9RAgYN75,100,0.7010000000000001,0.7607489361702128,0.10877021276595746,6.174382978723405e-05,0.18581702127659575,0.028554468085106383,103.96988510638296,0.6880255319148936,1.0,0.0,2024-04-12,2024,4,12,222,2024-04-13,2024-09-28,168,2
2qTdn4tIHLIDpIPTs04anW,32,0.565,0.642,0.188,0.0,0.193,0.0682,136.487,0.297,0.0,7.0,2024-09-20,2024,9,20,61,2024-09-22,2024-09-27,5,0
2qU4cGVCZ6CJQ8RjMHvGvp,64,0.9509999999999998,0.878,0.0673,4.1e-05,0.104,0.0497,110.00600000000001,0.94,0.0,0.0,2024-03-31,2024,3,31,234,2024-04-11,2024-10-27,199,1
2qU73FSqSc1Y9bV6O7BtiG,43,0.8290000000000001,0.405,0.027399999999999997,0.0,0.0953,0.506,161.966,0.276,1.0,2.0,2023-09-22,2023,9,22,425,2023-10-27,2023-11-09,13,0
2qXATVuCrdtjDproyhKGH4,51,0.884,0.582,0.0188,0.0,0.19,0.203,115.995,0.0847,1.0,2.0,2023-12-28,2023,12,28,328,2023-12-30,2024-01-11,12,1
2qXSWquHZScT6OMJARM6Ql,65,0.779,0.732,0.0676,4.12e-06,0.387,0.0823,104.969,0.361,0.0,0.0,2024-04-12,2024,4,12,222,2024-07-21,2024-10-20,91,1
2qYx6RdyYtNl17g652mjhw,36,0.826,0.8089999999999999,0.10900000000000001,0.0,0.0767,0.11600000000000002,140.008,0.553,0.0,6.0,2024-03-13,2024,3,13,252,2024-03-14,2024-03-20,6,0
2qaLGs4i8KjajslMwpA3f6,29,0.868,0.464,0.603,0.0,0.216,0.242,94.017,0.825,0.0,1.0,2023-10-27,2023,10,27,390,2023-10-29,2023-10-29,0,0
2qdwZPTNCHb8DXfQin53WK,67,0.8530000000000001,0.908,0.25,0.00114,0.0605,0.0943,114.986,0.714,1.0,1.0,2024-09-13,2024,9,13,68,2024-09-14,2024-10-31,47,1
2qg2jy3v50RwfV5FAqG3a2,86,0.28400000000000003,0.495,0.789,0.835,0.0946,0.0421,86.314,0.26,1.0,0.0,2023-03-24,2023,3,24,607,2023-10-18,2024-06-29,255,2
2qgXrzJsry4KgYoJCpuaul,74,0.512,0.695,0.0265,0.00815,0.146,0.0271,145.957,0.351,1.0,4.0,2015-09-25,2015,9,25,3344,2023-11-22,2023-11-22,0,2
2qgt9GiXVhFIXTA3OdHDUG,65,0.941,0.405,0.6869999999999999,0.0,0.105,0.442,127.09499999999998,0.718,0.0,8.0,2024-10-03,2024,10,3,48,2024-10-17,2024-10-19,2,1
2qrCResILkL1JFeRBrv3qA,79,0.734,0.841,0.144,0.0,0.359,0.186,101.853,0.951,0.0,10.0,2023-05-12,2023,5,12,558,2023-10-18,2024-04-15,180,2
2qsM1KHWQHBUEQlk6fOxdA,41,0.8,0.289,0.465,0.0,0.27,0.0515,107.964,0.964,1.0,2.0,2013-11-04,2013,11,4,4034,2023-12-26,2023-12-26,0,0
2qsMmsGUXoXP3l78AHoiEn,20,0.799,0.632,0.132,0.0,0.111,0.157,95.907,0.57,1.0,0.0,2023-10-27,2023,10,27,390,2023-10-29,2023-10-29,0,0
2qvNjj0E3whohTikQRaRR4,0,0.89,0.619,0.348,0.0002,0.0946,0.215,129.997,0.612,0.0,9.0,2024-06-07,2024,6,7,166,2024-06-08,2024-06-08,0,0
2qxPBeL2Q8jRnDv6EPK18A,64,0.819,0.877,0.0819,2.54e-05,0.0778,0.0831,113.997,0.449,0.0,2.0,2024-01-25,2024,1,25,300,2024-02-01,2024-06-20,140,1
2qyEoF40CW5XfmpYJDoOR3,45,0.806,0.476,0.0809,0.0,0.146,0.142,200.02200000000002,0.699,0.0,5.0,2024-10-10,2024,10,10,41,2024-10-13,2024-10-13,0,0
2r0tCQsTvEwkKEcZ9pYwZt,70,0.651,0.52,0.197,0.000245,0.151,0.141,87.772,0.355,1.0,1.0,2023-12-29,2023,12,29,327,2023-12-31,2024-01-20,20,1
2r2lwkgZJbsNCNcWqg1ND3,53,0.676,0.82,0.31,1.49e-05,0.225,0.0495,170.016,0.8160000000000001,0.0,9.0,2024-08-12,2024,8,12,100,2024-08-29,2024-10-31,63,1
2rBmOHorZGGzgIw9iLX9k2,59,0.839,0.668,0.09949999999999999,0.0,0.0776,0.238,154.09,0.8969999999999999,0.0,4.0,2023-10-29,2023,10,29,388,2023-11-01,2023-11-06,5,1
2rE8Typld9kgObCRZxE2BS,54,0.706,0.533,0.285,8.45e-05,0.0816,0.0678,139.995,0.1,1.0,8.0,2023-11-17,2023,11,17,369,2023-11-19,2023-11-30,11,1
